datetimeUTC,"USGS 04092677: Grand Calumet River at Industrial Hwy at Gary, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN (6-hour Mean)"
2022-03-01 12:55:00+00:00,nan,31.40,20.49
2022-03-01 13:00:00+00:00,371.00,-139.00,17.96
2022-03-01 13:05:00+00:00,371.00,-231.00,11.37
2022-03-01 13:10:00+00:00,371.00,-77.20,4.53
2022-03-01 13:15:00+00:00,371.00,354.00,3.68
2022-03-01 13:20:00+00:00,370.67,246.00,-0.62
2022-03-01 13:25:00+00:00,370.33,293.00,2.81
2022-03-01 13:30:00+00:00,370.00,169.00,5.15
2022-03-01 13:35:00+00:00,370.00,351.00,2.39
2022-03-01 13:40:00+00:00,370.00,61.60,-1.21
2022-03-01 13:45:00+00:00,370.00,77.10,-2.05
2022-03-01 13:50:00+00:00,370.00,31.00,-7.58
2022-03-01 13:55:00+00:00,370.00,247.00,-12.74
2022-03-01 14:00:00+00:00,370.00,62.30,-16.37
2022-03-01 14:05:00+00:00,370.00,263.00,-17.43
2022-03-01 14:10:00+00:00,370.00,109.00,-18.49
2022-03-01 14:15:00+00:00,370.00,-327.00,-19.99
2022-03-01 14:20:00+00:00,370.00,-218.00,-15.12
2022-03-01 14:25:00+00:00,370.00,248.00,-11.95
2022-03-01 14:30:00+00:00,370.00,233.00,-14.92
2022-03-01 14:35:00+00:00,370.33,202.00,-20.86
2022-03-01 14:40:00+00:00,370.67,-15.00,-21.92
2022-03-01 14:45:00+00:00,371.00,215.00,-24.28
2022-03-01 14:50:00+00:00,371.33,429.00,-27.71
2022-03-01 14:55:00+00:00,371.67,-30.20,-28.56
2022-03-01 15:00:00+00:00,372.00,-338.00,-26.43
2022-03-01 15:05:00+00:00,372.33,-727.00,-27.28
2022-03-01 15:10:00+00:00,372.67,-450.00,-25.79
2022-03-01 15:15:00+00:00,373.00,-140.00,-21.76
2022-03-01 15:20:00+00:00,373.00,-267.00,-20.05
2022-03-01 15:25:00+00:00,373.00,-30.80,-20.89
2022-03-01 15:30:00+00:00,373.00,140.00,-20.46
2022-03-01 15:35:00+00:00,373.33,387.00,-20.24
2022-03-01 15:40:00+00:00,373.67,443.00,-22.18
2022-03-01 15:45:00+00:00,374.00,30.90,-21.52
2022-03-01 15:50:00+00:00,373.33,-30.20,-17.87
2022-03-01 15:55:00+00:00,372.67,-107.00,-13.99
2022-03-01 16:00:00+00:00,372.00,-185.00,-9.30
2022-03-01 16:05:00+00:00,371.67,-481.00,-3.98
2022-03-01 16:10:00+00:00,371.33,-499.00,2.37
2022-03-01 16:15:00+00:00,371.00,-62.10,4.92
2022-03-01 16:20:00+00:00,371.67,-314.00,1.79
2022-03-01 16:25:00+00:00,372.33,250.00,0.35
2022-03-01 16:30:00+00:00,373.00,171.00,2.32
2022-03-01 16:35:00+00:00,373.67,-201.00,7.28
2022-03-01 16:40:00+00:00,374.33,-263.00,12.05
2022-03-01 16:45:00+00:00,375.00,-61.50,17.77
2022-03-01 16:50:00+00:00,375.67,-404.00,22.00
2022-03-01 16:55:00+00:00,376.33,-376.00,24.33
2022-03-01 17:00:00+00:00,377.00,-265.00,19.24
2022-03-01 17:05:00+00:00,376.67,-77.50,16.47
2022-03-01 17:10:00+00:00,376.33,-77.80,14.80
2022-03-01 17:15:00+00:00,376.00,-109.00,15.03
2022-03-01 17:20:00+00:00,375.67,355.00,26.39
2022-03-01 17:25:00+00:00,375.33,232.00,37.53
2022-03-01 17:30:00+00:00,375.00,-217.00,42.62
2022-03-01 17:35:00+00:00,375.67,-434.00,45.16
2022-03-01 17:40:00+00:00,376.33,-77.10,48.51
2022-03-01 17:45:00+00:00,377.00,-172.00,49.99
2022-03-01 17:50:00+00:00,377.00,-251.00,46.84
2022-03-01 17:55:00+00:00,377.00,-62.10,39.69
2022-03-01 18:00:00+00:00,377.00,156.00,43.30
2022-03-01 18:05:00+00:00,376.33,-62.30,48.57
2022-03-01 18:10:00+00:00,375.67,109.00,58.75
2022-03-01 18:15:00+00:00,375.00,294.00,64.92
2022-03-01 18:20:00+00:00,375.33,125.00,75.77
2022-03-01 18:25:00+00:00,375.67,-61.70,88.30
2022-03-01 18:30:00+00:00,376.00,31.40,93.16
2022-03-01 18:35:00+00:00,376.00,16.00,91.25
2022-03-01 18:40:00+00:00,376.00,-141.00,85.53
2022-03-01 18:45:00+00:00,376.00,47.50,81.38
2022-03-01 18:50:00+00:00,375.67,267.00,82.87
2022-03-01 18:55:00+00:00,375.33,283.00,81.80
2022-03-01 19:00:00+00:00,375.00,374.00,84.12
2022-03-01 19:05:00+00:00,375.33,249.00,91.34
2022-03-01 19:10:00+00:00,375.67,233.00,107.64
2022-03-01 19:15:00+00:00,376.00,109.00,123.49
2022-03-01 19:20:00+00:00,376.00,125.00,127.06
2022-03-01 19:25:00+00:00,376.00,141.00,133.05
2022-03-01 19:30:00+00:00,376.00,437.00,130.47
2022-03-01 19:35:00+00:00,377.00,531.00,129.40
2022-03-01 19:40:00+00:00,378.00,699.00,129.40
2022-03-01 19:45:00+00:00,379.00,479.00,133.01
2022-03-01 19:50:00+00:00,380.67,386.00,136.83
2022-03-01 19:55:00+00:00,382.33,201.00,145.81
2022-03-01 20:00:00+00:00,384.00,-124.00,156.52
2022-03-01 20:05:00+00:00,385.00,-140.00,168.60
2022-03-01 20:10:00+00:00,386.00,141.00,175.77
2022-03-01 20:15:00+00:00,387.00,126.00,178.32
2022-03-01 20:20:00+00:00,387.33,502.00,180.65
2022-03-01 20:25:00+00:00,387.67,595.00,175.37
2022-03-01 20:30:00+00:00,388.00,620.00,171.78
2022-03-01 20:35:00+00:00,388.33,418.00,175.81
2022-03-01 20:40:00+00:00,388.67,447.00,187.47
2022-03-01 20:45:00+00:00,389.00,92.70,190.24
2022-03-01 20:50:00+00:00,388.33,-15.10,196.63
2022-03-01 20:55:00+00:00,387.67,-92.60,204.72
2022-03-01 21:00:00+00:00,387.00,233.00,213.36
2022-03-01 21:05:00+00:00,385.67,47.00,216.48
2022-03-01 21:10:00+00:00,384.33,16.00,220.05
2022-03-01 21:15:00+00:00,383.00,0.37,218.35
2022-03-01 21:20:00+00:00,382.67,652.00,213.49
2022-03-01 21:25:00+00:00,382.33,648.00,207.80
2022-03-01 21:30:00+00:00,382.00,324.00,209.07
2022-03-01 21:35:00+00:00,381.67,0.37,208.22
2022-03-01 21:40:00+00:00,381.33,-30.50,206.50
2022-03-01 21:45:00+00:00,381.00,140.00,209.93
2022-03-01 21:50:00+00:00,381.33,140.00,213.57
2022-03-01 21:55:00+00:00,381.67,-109.00,217.77
2022-03-01 22:00:00+00:00,382.00,62.60,222.96
2022-03-01 22:05:00+00:00,381.00,342.00,226.18
2022-03-01 22:10:00+00:00,380.00,709.00,227.33
2022-03-01 22:15:00+00:00,379.00,658.00,223.52
2022-03-01 22:20:00+00:00,378.67,199.00,219.95
2022-03-01 22:25:00+00:00,378.33,123.00,218.87
2022-03-01 22:30:00+00:00,378.00,61.60,216.94
2022-03-01 22:35:00+00:00,378.67,92.70,211.81
2022-03-01 22:40:00+00:00,379.33,-201.00,208.59
2022-03-01 22:45:00+00:00,380.00,0.37,202.43
2022-03-01 22:50:00+00:00,379.67,218.00,202.00
2022-03-01 22:55:00+00:00,379.33,251.00,200.10
2022-03-01 23:00:00+00:00,379.00,406.00,200.28
2022-03-01 23:05:00+00:00,378.67,617.00,201.98
2022-03-01 23:10:00+00:00,378.33,446.00,205.79
2022-03-01 23:15:00+00:00,378.00,108.00,203.86
2022-03-01 23:20:00+00:00,378.00,61.20,199.81
2022-03-01 23:25:00+00:00,378.00,-30.20,192.72
2022-03-01 23:30:00+00:00,378.00,-30.60,186.94
2022-03-01 23:35:00+00:00,377.00,77.50,179.96
2022-03-01 23:40:00+00:00,376.00,417.00,177.01
2022-03-01 23:45:00+00:00,375.00,125.00,175.34
2022-03-01 23:50:00+00:00,374.67,295.00,182.88
2022-03-01 23:55:00+00:00,374.33,339.00,189.55
2022-03-02 00:00:00+00:00,374.00,569.00,189.37
2022-03-02 00:05:00+00:00,374.33,384.00,185.34
2022-03-02 00:10:00+00:00,374.67,198.00,181.12
2022-03-02 00:15:00+00:00,375.00,-14.80,177.52
2022-03-02 00:20:00+00:00,375.00,-60.70,176.02
2022-03-02 00:25:00+00:00,375.00,-291.00,169.21
2022-03-02 00:30:00+00:00,375.00,31.10,162.46
2022-03-02 00:35:00+00:00,375.00,-30.70,161.20
2022-03-02 00:40:00+00:00,375.00,-109.00,163.10
2022-03-02 00:45:00+00:00,375.00,109.00,163.94
2022-03-02 00:50:00+00:00,374.67,313.00,162.66
2022-03-02 00:55:00+00:00,374.33,574.00,163.91
2022-03-02 01:00:00+00:00,374.00,662.00,165.19
2022-03-02 01:05:00+00:00,374.33,609.00,166.66
2022-03-02 01:10:00+00:00,374.67,333.00,161.98
2022-03-02 01:15:00+00:00,375.00,-45.20,155.23
2022-03-02 01:20:00+00:00,374.67,-152.00,146.01
2022-03-02 01:25:00+00:00,374.33,46.30,145.63
2022-03-02 01:30:00+00:00,374.00,0.37,145.64
2022-03-02 01:35:00+00:00,374.00,62.50,146.07
2022-03-02 01:40:00+00:00,374.00,296.00,147.11
2022-03-02 01:45:00+00:00,374.00,249.00,149.66
2022-03-02 01:50:00+00:00,373.67,448.00,149.87
2022-03-02 01:55:00+00:00,373.33,247.00,147.31
2022-03-02 02:00:00+00:00,373.00,214.00,146.20
2022-03-02 02:05:00+00:00,373.00,0.36,140.22
2022-03-02 02:10:00+00:00,373.00,138.00,133.91
2022-03-02 02:15:00+00:00,373.00,0.37,128.86
2022-03-02 02:20:00+00:00,373.00,-170.00,129.71
2022-03-02 02:25:00+00:00,373.00,-15.20,132.67
2022-03-02 02:30:00+00:00,373.00,173.00,137.29
2022-03-02 02:35:00+00:00,373.00,110.00,139.19
2022-03-02 02:40:00+00:00,373.00,203.00,137.92
2022-03-02 02:45:00+00:00,373.00,325.00,132.85
2022-03-02 02:50:00+00:00,372.67,643.00,124.96
2022-03-02 02:55:00+00:00,372.33,472.00,118.56
2022-03-02 03:00:00+00:00,372.00,-106.00,110.48
2022-03-02 03:05:00+00:00,372.67,-60.90,102.26
2022-03-02 03:10:00+00:00,373.33,-261.00,102.75
2022-03-02 03:15:00+00:00,374.00,-247.00,103.41
2022-03-02 03:20:00+00:00,374.00,-109.00,106.35
2022-03-02 03:25:00+00:00,374.00,155.00,107.82
2022-03-02 03:30:00+00:00,374.00,155.00,109.50
2022-03-02 03:35:00+00:00,373.67,232.00,105.28
2022-03-02 03:40:00+00:00,373.33,139.00,101.06
2022-03-02 03:45:00+00:00,373.00,31.00,99.37
2022-03-02 03:50:00+00:00,373.33,46.40,96.61
2022-03-02 03:55:00+00:00,373.67,231.00,94.02
2022-03-02 04:00:00+00:00,374.00,-15.00,87.64
2022-03-02 04:05:00+00:00,374.00,170.00,77.94
2022-03-02 04:10:00+00:00,374.00,0.37,69.19
2022-03-02 04:15:00+00:00,374.00,216.00,65.68
2022-03-02 04:20:00+00:00,373.67,-15.10,70.25
2022-03-02 04:25:00+00:00,373.33,171.00,73.80
2022-03-02 04:30:00+00:00,373.00,124.00,73.38
2022-03-02 04:35:00+00:00,373.00,92.70,70.23
2022-03-02 04:40:00+00:00,373.00,169.00,67.26
2022-03-02 04:45:00+00:00,373.00,-15.00,63.21
2022-03-02 04:50:00+00:00,373.00,15.70,59.17
2022-03-02 04:55:00+00:00,373.00,31.10,56.22
2022-03-02 05:00:00+00:00,373.00,170.00,55.81
2022-03-02 05:05:00+00:00,373.00,-30.50,57.31
2022-03-02 05:10:00+00:00,373.00,156.00,63.16
2022-03-02 05:15:00+00:00,373.00,77.90,61.28
2022-03-02 05:20:00+00:00,373.33,170.00,59.40
2022-03-02 05:25:00+00:00,373.67,277.00,58.15
2022-03-02 05:30:00+00:00,374.00,307.00,54.75
2022-03-02 05:35:00+00:00,374.00,108.00,44.91
2022-03-02 05:40:00+00:00,374.00,-15.00,39.33
2022-03-02 05:45:00+00:00,374.00,46.70,36.13
2022-03-02 05:50:00+00:00,374.00,-451.00,36.78
2022-03-02 05:55:00+00:00,374.00,-172.00,34.73
2022-03-02 06:00:00+00:00,374.00,-251.00,30.36
2022-03-02 06:05:00+00:00,374.00,-31.10,37.24
2022-03-02 06:10:00+00:00,374.00,420.00,40.15
2022-03-02 06:15:00+00:00,374.00,246.00,43.94
2022-03-02 06:20:00+00:00,373.67,200.00,45.45
2022-03-02 06:25:00+00:00,373.33,46.40,42.09
2022-03-02 06:30:00+00:00,373.00,-168.00,34.04
2022-03-02 06:35:00+00:00,373.33,-277.00,32.77
2022-03-02 06:40:00+00:00,373.67,-339.00,33.00
2022-03-02 06:45:00+00:00,374.00,-232.00,35.56
2022-03-02 06:50:00+00:00,374.00,-92.70,35.78
2022-03-02 06:55:00+00:00,374.00,124.00,39.36
2022-03-02 07:00:00+00:00,374.00,108.00,42.03
2022-03-02 07:05:00+00:00,373.67,-45.60,47.24
2022-03-02 07:10:00+00:00,373.33,-30.30,43.44
2022-03-02 07:15:00+00:00,373.00,76.80,36.30
2022-03-02 07:20:00+00:00,373.00,289.00,36.08
2022-03-02 07:25:00+00:00,373.00,107.00,37.78
2022-03-02 07:30:00+00:00,373.00,15.70,37.79
2022-03-02 07:35:00+00:00,373.00,-230.00,38.43
2022-03-02 07:40:00+00:00,373.00,-154.00,41.17
2022-03-02 07:45:00+00:00,373.00,0.37,43.51
2022-03-02 07:50:00+00:00,373.00,-46.20,46.03
2022-03-02 07:55:00+00:00,373.00,233.00,52.90
2022-03-02 08:00:00+00:00,373.00,217.00,63.27
2022-03-02 08:05:00+00:00,372.67,323.00,63.87
2022-03-02 08:10:00+00:00,372.33,428.00,67.62
2022-03-02 08:15:00+00:00,372.00,0.36,69.85
2022-03-02 08:20:00+00:00,372.00,-137.00,69.63
2022-03-02 08:25:00+00:00,372.00,-261.00,66.89
2022-03-02 08:30:00+00:00,372.00,-263.00,67.24
2022-03-02 08:35:00+00:00,372.00,-546.00,66.36
2022-03-02 08:40:00+00:00,372.00,-297.00,65.31
2022-03-02 08:45:00+00:00,372.00,-30.80,65.73
2022-03-02 08:50:00+00:00,372.00,373.00,65.92
2022-03-02 08:55:00+00:00,372.00,493.00,72.53
2022-03-02 09:00:00+00:00,372.00,153.00,75.31
2022-03-02 09:05:00+00:00,371.67,396.00,86.32
2022-03-02 09:10:00+00:00,371.33,152.00,93.75
2022-03-02 09:15:00+00:00,371.00,15.50,89.93
2022-03-02 09:20:00+00:00,371.33,-137.00,91.23
2022-03-02 09:25:00+00:00,371.67,-354.00,100.28
2022-03-02 09:30:00+00:00,372.00,-433.00,112.61
2022-03-02 09:35:00+00:00,371.67,62.50,119.89
2022-03-02 09:40:00+00:00,371.33,249.00,123.28
2022-03-02 09:45:00+00:00,371.00,326.00,128.76
2022-03-02 09:50:00+00:00,370.67,46.50,131.73
2022-03-02 09:55:00+00:00,370.33,308.00,134.47
2022-03-02 10:00:00+00:00,370.00,426.00,130.46
2022-03-02 10:05:00+00:00,370.33,365.00,127.07
2022-03-02 10:10:00+00:00,370.67,-107.00,138.16
2022-03-02 10:15:00+00:00,371.00,-521.00,150.92
2022-03-02 10:20:00+00:00,371.00,200.00,151.35
2022-03-02 10:25:00+00:00,371.00,109.00,148.65
2022-03-02 10:30:00+00:00,371.00,172.00,153.40
2022-03-02 10:35:00+00:00,370.67,170.00,152.35
2022-03-02 10:40:00+00:00,370.33,293.00,156.98
2022-03-02 10:45:00+00:00,370.00,340.00,164.04
2022-03-02 10:50:00+00:00,370.33,169.00,166.11
2022-03-02 10:55:00+00:00,370.67,517.00,165.91
2022-03-02 11:00:00+00:00,371.00,788.00,165.20
2022-03-02 11:05:00+00:00,371.00,214.00,167.37
2022-03-02 11:10:00+00:00,371.00,243.00,167.52
2022-03-02 11:15:00+00:00,371.00,319.00,161.87
2022-03-02 11:20:00+00:00,371.00,61.60,161.45
2022-03-02 11:25:00+00:00,371.00,-30.10,163.34
2022-03-02 11:30:00+00:00,371.00,303.00,166.49
2022-03-02 11:35:00+00:00,370.67,243.00,168.01
2022-03-02 11:40:00+00:00,370.33,30.90,170.44
2022-03-02 11:45:00+00:00,370.00,15.50,168.80
2022-03-02 11:50:00+00:00,370.00,61.10,164.59
2022-03-02 11:55:00+00:00,370.00,31.10,163.70
2022-03-02 12:00:00+00:00,370.00,31.10,167.19
2022-03-02 12:05:00+00:00,370.00,553.00,168.63
2022-03-02 12:10:00+00:00,370.00,511.00,167.34
2022-03-02 12:15:00+00:00,370.00,141.00,165.26
2022-03-02 12:20:00+00:00,370.00,341.00,165.47
2022-03-02 12:25:00+00:00,370.00,861.00,168.59
2022-03-02 12:30:00+00:00,370.00,946.00,172.41
2022-03-02 12:35:00+00:00,370.00,364.00,170.59
2022-03-02 12:40:00+00:00,370.00,-29.90,162.40
2022-03-02 12:45:00+00:00,370.00,61.10,158.79
2022-03-02 12:50:00+00:00,370.00,-14.90,159.40
2022-03-02 12:55:00+00:00,370.00,107.00,163.81
2022-03-02 13:00:00+00:00,370.00,-169.00,160.43
2022-03-02 13:05:00+00:00,370.00,-139.00,152.29
2022-03-02 13:10:00+00:00,370.00,764.00,146.67
2022-03-02 13:15:00+00:00,370.00,901.00,150.03
2022-03-02 13:20:00+00:00,369.67,108.00,154.85
2022-03-02 13:25:00+00:00,369.33,91.70,151.69
2022-03-02 13:30:00+00:00,369.00,454.00,151.67
2022-03-02 13:35:00+00:00,369.00,-60.80,153.48
2022-03-02 13:40:00+00:00,369.00,108.00,152.40
2022-03-02 13:45:00+00:00,369.00,361.00,149.43
2022-03-02 13:50:00+00:00,369.33,152.00,148.08
