datetimeUTC,USGS 04087440: Lake Michigan at Chicago Lock,USGS 05536118: Chicago River at Grand Ave,USGS 05536123: Chicago River at Columbus Dr,USGS 05536137: Chicago Sanitary and Ship Canal (CSSC) at Western Ave,"USGS 05536140: CSSC at Stickney, IL","USGS 05536890: CSSC near Lemont, IL","USGS 05536995: CSSC at Romeoville, IL"
2022-07-28 12:51:00+00:00,1.18,nan,-1.99,nan,nan,-2.45,nan
2022-07-28 12:52:00+00:00,1.22,nan,-2.01,nan,nan,-2.45,nan
2022-07-28 12:53:00+00:00,1.26,nan,-2.00,nan,nan,-2.43,nan
2022-07-28 12:54:00+00:00,1.26,nan,-2.01,nan,nan,-2.41,nan
2022-07-28 12:55:00+00:00,1.14,-1.89,-2.03,nan,-2.16,-2.42,-3.23
2022-07-28 12:56:00+00:00,1.02,-1.89,-2.04,nan,-2.13,-2.46,-3.26
2022-07-28 12:57:00+00:00,1.00,-1.89,-2.03,nan,-2.11,-2.45,-3.28
2022-07-28 12:58:00+00:00,1.08,-1.89,-2.04,nan,-2.08,-2.43,-3.30
2022-07-28 12:59:00+00:00,1.16,-1.89,-2.06,nan,-2.06,-2.43,-3.33
2022-07-28 13:00:00+00:00,1.27,-1.89,-2.06,-2.10,-2.03,-2.44,-3.35
2022-07-28 13:01:00+00:00,1.29,-1.89,-2.06,-2.10,-2.04,-2.45,-3.29
2022-07-28 13:02:00+00:00,1.23,-1.89,-2.08,-2.09,-2.06,-2.44,-3.23
2022-07-28 13:03:00+00:00,1.19,-1.88,-2.08,-2.09,-2.07,-2.44,-3.17
2022-07-28 13:04:00+00:00,1.21,-1.88,-2.07,-2.08,-2.09,-2.44,-3.11
2022-07-28 13:05:00+00:00,1.26,-1.88,-2.06,-2.08,-2.10,-2.42,-3.05
2022-07-28 13:06:00+00:00,1.36,-1.88,-2.08,-2.08,-2.12,-2.43,-3.05
2022-07-28 13:07:00+00:00,1.45,-1.89,-2.07,-2.07,-2.15,-2.44,-3.05
2022-07-28 13:08:00+00:00,1.47,-1.89,-2.08,-2.07,-2.17,-2.42,-3.05
2022-07-28 13:09:00+00:00,1.37,-1.90,-2.06,-2.06,-2.20,-2.43,-3.04
2022-07-28 13:10:00+00:00,1.29,-1.90,-2.06,-2.06,-2.22,-2.44,-3.04
2022-07-28 13:11:00+00:00,1.22,-1.90,-2.07,-2.06,-2.22,-2.46,-3.03
2022-07-28 13:12:00+00:00,1.31,-1.90,-2.07,-2.06,-2.22,-2.48,-3.03
2022-07-28 13:13:00+00:00,1.29,-1.90,-2.06,-2.07,-2.23,-2.48,-3.02
2022-07-28 13:14:00+00:00,1.34,-1.90,-2.07,-2.07,-2.23,-2.48,-3.01
2022-07-28 13:15:00+00:00,1.39,-1.90,-2.07,-2.07,-2.23,-2.51,-3.00
2022-07-28 13:16:00+00:00,1.40,-1.90,-1.96,-2.07,-2.21,-2.53,-2.98
2022-07-28 13:17:00+00:00,1.41,-1.90,-1.98,-2.07,-2.20,-2.53,-2.97
2022-07-28 13:18:00+00:00,1.37,-1.90,-1.99,-2.08,-2.18,-2.53,-2.95
2022-07-28 13:19:00+00:00,1.27,-1.90,-1.93,-2.08,-2.17,-2.54,-2.94
2022-07-28 13:20:00+00:00,1.16,-1.90,-2.03,-2.08,-2.15,-2.56,-2.92
2022-07-28 13:21:00+00:00,1.11,-1.90,-2.02,-2.09,-2.15,-2.59,-2.92
2022-07-28 13:22:00+00:00,1.10,-1.90,-2.03,-2.09,-2.15,-2.60,-2.93
2022-07-28 13:23:00+00:00,1.10,-1.91,-2.10,-2.10,-2.16,-2.62,-2.93
2022-07-28 13:24:00+00:00,1.09,-1.91,-2.06,-2.10,-2.16,-2.61,-2.93
2022-07-28 13:25:00+00:00,1.11,-1.91,-2.06,-2.11,-2.16,-2.59,-2.93
2022-07-28 13:26:00+00:00,1.16,-1.91,-2.04,-2.12,-2.17,-2.57,-2.94
2022-07-28 13:27:00+00:00,1.24,-1.91,-2.10,-2.12,-2.17,-2.55,-2.94
2022-07-28 13:28:00+00:00,1.24,-1.91,-2.12,-2.13,-2.18,-2.50,-2.94
2022-07-28 13:29:00+00:00,1.24,-1.91,-2.10,-2.13,-2.18,-2.47,-2.95
2022-07-28 13:30:00+00:00,1.16,-1.91,-2.12,-2.14,-2.19,-2.45,-2.95
2022-07-28 13:31:00+00:00,1.09,-1.91,-2.09,-2.13,-2.20,-2.48,-2.95
2022-07-28 13:32:00+00:00,1.06,-1.92,-2.15,-2.13,-2.21,-2.50,-2.96
2022-07-28 13:33:00+00:00,1.14,-1.92,-2.08,-2.12,-2.21,-2.50,-2.96
2022-07-28 13:34:00+00:00,1.27,-1.93,-2.13,-2.12,-2.22,-2.48,-2.96
2022-07-28 13:35:00+00:00,1.34,-1.93,-2.10,-2.11,-2.23,-2.51,-2.96
2022-07-28 13:36:00+00:00,1.33,-1.93,-2.12,-2.10,-2.23,-2.50,-2.95
2022-07-28 13:37:00+00:00,1.28,-1.93,-2.13,-2.10,-2.23,-2.47,-2.95
2022-07-28 13:38:00+00:00,1.12,-1.92,-2.13,-2.09,-2.23,-2.47,-2.94
2022-07-28 13:39:00+00:00,1.20,-1.92,-2.11,-2.09,-2.23,-2.47,-2.93
2022-07-28 13:40:00+00:00,1.21,-1.92,-2.10,-2.08,-2.23,-2.46,-2.92
2022-07-28 13:41:00+00:00,1.22,-1.93,-2.10,-2.08,-2.23,-2.47,-2.91
2022-07-28 13:42:00+00:00,1.41,-1.93,-2.11,-2.08,-2.22,-2.45,-2.89
2022-07-28 13:43:00+00:00,1.26,-1.94,-2.12,-2.08,-2.22,-2.44,-2.87
2022-07-28 13:44:00+00:00,1.39,-1.94,-2.09,-2.08,-2.21,-2.44,-2.86
2022-07-28 13:45:00+00:00,1.35,-1.95,-2.09,-2.08,-2.21,-2.44,-2.84
2022-07-28 13:46:00+00:00,1.52,-1.95,-2.10,-2.09,-2.21,-2.43,-2.84
2022-07-28 13:47:00+00:00,1.54,-1.95,-2.14,-2.09,-2.21,-2.44,-2.84
2022-07-28 13:48:00+00:00,1.54,-1.96,-2.12,-2.09,-2.22,-2.44,-2.84
2022-07-28 13:49:00+00:00,1.50,-1.96,-2.08,-2.09,-2.22,-2.40,-2.83
2022-07-28 13:50:00+00:00,1.42,-1.96,-1.99,-2.09,-2.22,-2.39,-2.83
2022-07-28 13:51:00+00:00,1.32,-1.94,-2.03,-2.10,-2.21,-2.39,-2.84
2022-07-28 13:52:00+00:00,1.33,-1.93,-2.07,-2.10,-2.21,-2.38,-2.85
2022-07-28 13:53:00+00:00,1.33,-1.91,-1.96,-2.11,-2.20,-2.39,-2.86
2022-07-28 13:54:00+00:00,1.36,-1.90,-2.10,-2.11,-2.20,-2.37,-2.86
2022-07-28 13:55:00+00:00,1.48,-1.88,-2.07,-2.12,-2.19,-2.39,-2.87
2022-07-28 13:56:00+00:00,1.62,-1.91,-2.10,-2.13,-2.19,-2.40,-2.86
2022-07-28 13:57:00+00:00,1.69,-1.94,-2.15,-2.13,-2.19,-2.41,-2.84
2022-07-28 13:58:00+00:00,1.64,-1.96,-2.08,-2.14,-2.20,-2.41,-2.83
2022-07-28 13:59:00+00:00,1.59,-1.99,-2.15,-2.14,-2.20,-2.42,-2.82
2022-07-28 14:00:00+00:00,1.44,-2.02,-2.10,-2.15,-2.20,-2.44,-2.80
2022-07-28 14:01:00+00:00,1.34,-2.02,-2.18,-2.15,-2.21,-2.43,-2.81
2022-07-28 14:02:00+00:00,1.31,-2.01,-2.14,-2.15,-2.21,-2.41,-2.82
2022-07-28 14:03:00+00:00,1.40,-2.01,-2.16,-2.14,-2.22,-2.42,-2.83
2022-07-28 14:04:00+00:00,1.59,-2.00,-2.16,-2.14,-2.22,-2.43,-2.84
2022-07-28 14:05:00+00:00,1.74,-2.00,-2.12,-2.14,-2.23,-2.44,-2.85
2022-07-28 14:06:00+00:00,1.82,-2.00,-2.22,-2.14,-2.23,-2.44,-2.89
2022-07-28 14:07:00+00:00,1.79,-2.01,-2.18,-2.14,-2.24,-2.42,-2.93
