datetimeUTC,"USGS 04092677: Grand Calumet River at Industrial Hwy at Gary, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN","USGS 05536356: Grand Calumet River at Columbia Ave at Hammond, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN (6-hour Mean)"
2021-12-22 13:55:00+00:00,nan,1.32,nan,1.22
2021-12-22 14:00:00+00:00,2.31,1.36,1.71,1.22
2021-12-22 14:05:00+00:00,2.32,1.33,1.69,1.21
2021-12-22 14:10:00+00:00,2.33,1.25,1.68,1.21
2021-12-22 14:15:00+00:00,2.34,1.23,1.66,1.21
2021-12-22 14:20:00+00:00,2.34,1.10,1.66,1.21
2021-12-22 14:25:00+00:00,2.34,1.11,1.66,1.21
2021-12-22 14:30:00+00:00,2.34,1.00,1.66,1.21
2021-12-22 14:35:00+00:00,2.34,0.99,1.65,1.20
2021-12-22 14:40:00+00:00,2.34,1.10,1.65,1.20
2021-12-22 14:45:00+00:00,2.34,1.10,1.64,1.20
2021-12-22 14:50:00+00:00,2.34,1.11,1.61,1.19
2021-12-22 14:55:00+00:00,2.33,1.16,1.58,1.19
2021-12-22 15:00:00+00:00,2.33,1.17,1.55,1.18
2021-12-22 15:05:00+00:00,2.33,0.99,1.54,1.18
2021-12-22 15:10:00+00:00,2.32,1.00,1.52,1.17
2021-12-22 15:15:00+00:00,2.32,0.99,1.51,1.17
2021-12-22 15:20:00+00:00,2.32,0.92,1.51,1.16
2021-12-22 15:25:00+00:00,2.32,0.92,1.50,1.16
2021-12-22 15:30:00+00:00,2.32,1.09,1.50,1.16
2021-12-22 15:35:00+00:00,2.32,1.19,1.48,1.16
2021-12-22 15:40:00+00:00,2.31,1.19,1.45,1.15
2021-12-22 15:45:00+00:00,2.31,1.30,1.43,1.14
2021-12-22 15:50:00+00:00,2.30,1.27,1.42,1.13
2021-12-22 15:55:00+00:00,2.30,1.17,1.41,1.12
2021-12-22 16:00:00+00:00,2.29,1.11,1.40,1.11
2021-12-22 16:05:00+00:00,2.29,1.10,1.42,1.11
2021-12-22 16:10:00+00:00,2.30,0.95,1.44,1.10
2021-12-22 16:15:00+00:00,2.30,0.96,1.46,1.10
2021-12-22 16:20:00+00:00,2.30,1.10,1.44,1.09
2021-12-22 16:25:00+00:00,2.29,1.00,1.43,1.09
2021-12-22 16:30:00+00:00,2.29,1.01,1.41,1.09
2021-12-22 16:35:00+00:00,2.29,1.16,1.39,1.08
2021-12-22 16:40:00+00:00,2.29,1.16,1.37,1.08
2021-12-22 16:45:00+00:00,2.29,1.12,1.35,1.07
2021-12-22 16:50:00+00:00,2.29,1.24,1.35,1.07
2021-12-22 16:55:00+00:00,2.29,1.28,1.36,1.06
2021-12-22 17:00:00+00:00,2.29,1.13,1.36,1.05
