,Lake Michigan at Chicago Lock,USGS:05536123:00065:00000_qualifiers,Chicago River at Chicago Lock,USGS:04087440:00065:00000_qualifiers,Chicago River at Columbus Dr,USGS:05536118:00065:00000_qualifiers,Chicago River at Grand Ave,USGS:05536121:00065:00000_qualifiers,CSSC at Western Ave,USGS:05536137:00065:00000_qualifiers,"CSSC at Stickney, IL",USGS:05536140:00065:00000_qualifiers,"CSSC near Lemont, IL",USGS:05536890:00065:00000_qualifiers
2020-05-12 21:23:00-06:00,-2.21,A,3.22,A,nan,nan,-2.36,P,nan,nan,nan,nan,-2.25,P
2020-05-12 21:24:00-06:00,-2.20,A,3.22,A,nan,nan,-2.36,P,nan,nan,nan,nan,-2.27,P
2020-05-12 21:25:00-06:00,-2.27,A,3.24,A,nan,nan,-2.38,P,nan,nan,-2.15,P,-2.29,P
2020-05-12 21:26:00-06:00,-2.24,A,3.22,A,nan,nan,-2.34,P,nan,nan,nan,nan,-2.30,P
2020-05-12 21:27:00-06:00,-2.27,A,3.23,A,nan,nan,-2.37,P,nan,nan,nan,nan,-2.36,P
2020-05-12 21:28:00-06:00,-2.21,A,3.25,A,nan,nan,-2.38,P,nan,nan,nan,nan,-2.38,P
2020-05-12 21:29:00-06:00,-2.25,A,3.25,A,nan,nan,-2.38,P,nan,nan,nan,nan,-2.41,P
2020-05-12 21:30:00-06:00,-2.25,A,3.24,A,-2.22,A,-2.37,P,-2.17,P,-2.16,P,-2.44,P
2020-05-12 21:31:00-06:00,-2.25,A,3.23,A,nan,nan,-2.38,P,nan,nan,nan,nan,-2.40,P
2020-05-12 21:32:00-06:00,-2.21,A,3.25,A,nan,nan,-2.38,P,nan,nan,nan,nan,-2.41,P
2020-05-12 21:33:00-06:00,-2.24,A,3.24,A,nan,nan,-2.37,P,nan,nan,nan,nan,-2.40,P
2020-05-12 21:34:00-06:00,-2.25,A,3.22,A,nan,nan,-2.38,P,nan,nan,nan,nan,-2.39,P
2020-05-12 21:35:00-06:00,-2.24,A,3.26,A,nan,nan,-2.34,P,nan,nan,-2.22,P,-2.40,P
2020-05-12 21:36:00-06:00,-2.22,A,3.24,A,nan,nan,-2.37,P,nan,nan,nan,nan,-2.40,P
2020-05-12 21:37:00-06:00,-2.21,A,3.25,A,nan,nan,-2.33,P,nan,nan,nan,nan,-2.38,P
2020-05-12 21:38:00-06:00,-2.22,A,3.24,A,nan,nan,-2.33,P,nan,nan,nan,nan,-2.44,P
2020-05-12 21:39:00-06:00,-2.22,A,3.24,A,nan,nan,-2.32,P,nan,nan,nan,nan,-2.43,P
2020-05-12 21:40:00-06:00,-2.20,A,3.28,A,-2.27,A,-2.34,P,-2.13,P,-2.25,P,-2.46,P
2020-05-12 21:41:00-06:00,-2.20,A,3.26,A,nan,nan,-2.30,P,nan,nan,nan,nan,-2.50,P
2020-05-12 21:42:00-06:00,-2.19,A,3.22,A,nan,nan,-2.32,P,nan,nan,nan,nan,-2.48,P
2020-05-12 21:43:00-06:00,-2.20,A,3.23,A,nan,nan,-2.33,P,nan,nan,nan,nan,-2.48,P
2020-05-12 21:44:00-06:00,-2.18,A,3.20,A,nan,nan,-2.31,P,nan,nan,nan,nan,-2.48,P
2020-05-12 21:45:00-06:00,-2.21,A,3.21,A,nan,nan,-2.32,P,nan,nan,-2.23,P,-2.46,P
2020-05-12 21:46:00-06:00,-2.17,A,3.21,A,nan,nan,-2.32,P,nan,nan,nan,nan,-2.46,P
2020-05-12 21:47:00-06:00,-2.19,A,3.21,A,nan,nan,-2.31,P,nan,nan,nan,nan,-2.40,P
2020-05-12 21:48:00-06:00,-2.16,A,3.15,A,nan,nan,-2.33,P,nan,nan,nan,nan,-2.34,P
2020-05-12 21:49:00-06:00,-2.19,A,3.19,A,nan,nan,-2.30,P,nan,nan,nan,nan,-2.31,P
2020-05-12 21:50:00-06:00,-2.17,A,3.14,A,-2.22,A,-2.30,P,-2.10,P,-2.22,P,-2.30,P
2020-05-12 21:51:00-06:00,-2.17,A,3.17,A,nan,nan,-2.30,P,nan,nan,nan,nan,-2.30,P
2020-05-12 21:52:00-06:00,-2.17,A,3.21,A,nan,nan,-2.30,P,nan,nan,nan,nan,-2.29,P
2020-05-12 21:53:00-06:00,-2.16,A,3.15,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.30,P
2020-05-12 21:54:00-06:00,-2.15,A,3.15,A,nan,nan,-2.30,P,nan,nan,nan,nan,-2.34,P
2020-05-12 21:55:00-06:00,-2.12,A,3.18,A,nan,nan,-2.27,P,nan,nan,-2.20,P,-2.34,P
2020-05-12 21:56:00-06:00,-2.14,A,3.21,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.35,P
2020-05-12 21:57:00-06:00,-2.13,A,3.19,A,nan,nan,-2.24,P,nan,nan,nan,nan,-2.34,P
2020-05-12 21:58:00-06:00,-2.16,A,3.20,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.34,P
2020-05-12 21:59:00-06:00,-2.12,A,3.20,A,nan,nan,-2.23,P,nan,nan,nan,nan,-2.33,P
2020-05-12 22:00:00-06:00,-2.13,A,3.19,A,-2.19,A,-2.26,P,-2.14,P,-2.18,P,-2.32,P
2020-05-12 22:01:00-06:00,-2.11,A,3.19,A,nan,nan,-2.23,P,nan,nan,nan,nan,-2.30,P
2020-05-12 22:02:00-06:00,-2.12,A,3.20,A,nan,nan,-2.24,P,nan,nan,nan,nan,-2.30,P
2020-05-12 22:03:00-06:00,-2.16,A,3.22,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.29,P
2020-05-12 22:04:00-06:00,-2.10,A,3.19,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.29,P
2020-05-12 22:05:00-06:00,-2.12,A,3.17,A,nan,nan,-2.25,P,nan,nan,-2.17,P,-2.29,P
2020-05-12 22:06:00-06:00,-2.08,A,3.14,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.27,P
2020-05-12 22:07:00-06:00,-2.14,A,3.18,A,nan,nan,-2.24,P,nan,nan,nan,nan,-2.25,P
2020-05-12 22:08:00-06:00,-2.13,A,3.16,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.26,P
2020-05-12 22:09:00-06:00,-2.13,A,3.19,A,nan,nan,-2.23,P,nan,nan,nan,nan,-2.26,P
2020-05-12 22:10:00-06:00,-2.13,A,3.17,A,-2.15,A,-2.26,P,-2.15,P,-2.17,P,-2.26,P
2020-05-12 22:11:00-06:00,-2.11,A,3.17,A,nan,nan,-2.22,P,nan,nan,nan,nan,-2.25,P
2020-05-12 22:12:00-06:00,-2.12,A,3.20,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.24,P
2020-05-12 22:13:00-06:00,-2.12,A,3.19,A,nan,nan,-2.22,P,nan,nan,nan,nan,-2.23,P
2020-05-12 22:14:00-06:00,-2.14,A,3.17,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.24,P
2020-05-12 22:15:00-06:00,-2.13,A,3.19,A,nan,nan,-2.24,P,nan,nan,-2.20,P,-2.27,P
2020-05-12 22:16:00-06:00,-2.12,A,3.20,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.28,P
2020-05-12 22:17:00-06:00,-2.14,A,3.20,A,nan,nan,-2.24,P,nan,nan,nan,nan,-2.29,P
2020-05-12 22:18:00-06:00,-2.12,A,3.20,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.30,P
2020-05-12 22:19:00-06:00,-2.15,A,3.25,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.26,P
2020-05-12 22:20:00-06:00,-2.11,A,3.24,A,-2.17,A,-2.27,P,-2.15,P,-2.21,P,-2.32,P
2020-05-12 22:21:00-06:00,-2.15,A,3.25,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.27,P
2020-05-12 22:22:00-06:00,-2.13,A,3.24,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.25,P
2020-05-12 22:23:00-06:00,-2.15,A,3.27,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.22,P
2020-05-12 22:24:00-06:00,-2.13,A,3.25,A,nan,nan,-2.29,P,nan,nan,nan,nan,-2.20,P
2020-05-12 22:25:00-06:00,-2.15,A,3.28,A,nan,nan,-2.26,P,nan,nan,-2.26,P,-2.21,P
2020-05-12 22:26:00-06:00,-2.15,A,3.24,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.24,P
2020-05-12 22:27:00-06:00,-2.14,A,3.24,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.22,P
2020-05-12 22:28:00-06:00,-2.13,A,3.23,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.28,P
2020-05-12 22:29:00-06:00,-2.14,A,3.27,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.29,P
2020-05-12 22:30:00-06:00,-2.14,A,3.26,A,-2.17,A,-2.27,P,-2.13,P,-2.29,P,-2.25,P
2020-05-12 22:31:00-06:00,-2.13,A,3.27,A,nan,nan,-2.25,P,nan,nan,nan,nan,-2.25,P
2020-05-12 22:32:00-06:00,-2.14,A,3.24,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.26,P
2020-05-12 22:33:00-06:00,-2.14,A,3.25,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.29,P
2020-05-12 22:34:00-06:00,-2.16,A,3.22,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.28,P
2020-05-12 22:35:00-06:00,-2.14,A,3.22,A,nan,nan,-2.26,P,nan,nan,-2.31,P,-2.26,P
2020-05-12 22:36:00-06:00,-2.13,A,3.25,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.26,P
2020-05-12 22:37:00-06:00,-2.13,A,3.26,A,nan,nan,-2.29,P,nan,nan,nan,nan,-2.24,P
2020-05-12 22:38:00-06:00,-2.15,A,3.27,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.24,P
2020-05-12 22:39:00-06:00,-2.18,A,3.26,A,nan,nan,-2.26,P,nan,nan,nan,nan,-2.23,P
2020-05-12 22:40:00-06:00,-2.15,A,3.23,A,-2.16,A,-2.26,P,-2.15,P,-2.32,P,-2.23,P
2020-05-12 22:41:00-06:00,-2.14,A,3.27,A,nan,nan,-2.29,P,nan,nan,nan,nan,-2.22,P
2020-05-12 22:42:00-06:00,-2.13,A,3.23,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.25,P
2020-05-12 22:43:00-06:00,-2.15,A,3.27,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.28,P
2020-05-12 22:44:00-06:00,-2.13,A,3.30,A,nan,nan,-2.29,P,nan,nan,nan,nan,-2.30,P
2020-05-12 22:45:00-06:00,-2.13,A,3.25,A,nan,nan,-2.29,P,nan,nan,-2.27,P,-2.33,P
2020-05-12 22:46:00-06:00,-2.17,A,3.25,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.37,P
2020-05-12 22:47:00-06:00,-2.16,A,3.26,A,nan,nan,-2.25,P,nan,nan,nan,nan,-2.39,P
2020-05-12 22:48:00-06:00,-2.15,A,3.24,A,nan,nan,-2.28,P,nan,nan,nan,nan,-2.38,P
2020-05-12 22:49:00-06:00,-2.11,A,3.28,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.42,P
2020-05-12 22:50:00-06:00,-2.13,A,3.28,A,-2.16,A,-2.27,P,-2.19,P,-2.26,P,-2.42,P
2020-05-12 22:51:00-06:00,-2.13,A,3.30,A,nan,nan,-2.27,P,nan,nan,nan,nan,-2.40,P
2020-05-12 22:52:00-06:00,-2.13,A,3.34,A,nan,nan,-2.25,P,nan,nan,nan,nan,-2.39,P
2020-05-12 22:53:00-06:00,-2.13,A,3.36,A,nan,nan,-2.25,P,nan,nan,nan,nan,-2.41,P
2020-05-12 22:54:00-06:00,-2.13,A,3.30,A,nan,nan,-2.25,P,nan,nan,nan,nan,-2.39,P
2020-05-12 22:55:00-06:00,-2.14,A,3.33,A,nan,nan,-2.24,P,nan,nan,-2.26,P,-2.41,P
