,"USGS 05536890: CSSC near Lemont, IL","USGS 05533600: Des Plaines River near Lemont, IL",USGS 05536085: North Branch Chicago River at N Pulaski Rd,"USGS 05536290: Little Calumet River at South Holland, IL","USGS 05536340: Midlothian Creek at Oak Forest, IL","USGS 05536500: Tinley Creek near Palos Park, IL","USGS 05536580: Stony Creek (west) near Worth, IL","USGS 05537980: Des Plaines River at Route 53 at Joliet, IL"
2020-05-27 11:35:00-06:00,6320.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:36:00-06:00,6460.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:37:00-06:00,6200.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:38:00-06:00,6220.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:39:00-06:00,6470.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:40:00-06:00,6430.00,nan,nan,nan,nan,nan,nan,9950.00
2020-05-27 11:41:00-06:00,6260.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:42:00-06:00,6340.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:43:00-06:00,6340.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:44:00-06:00,6520.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:45:00-06:00,6570.00,3600.00,496.00,380.00,24.50,10.40,23.30,nan
2020-05-27 11:46:00-06:00,6360.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:47:00-06:00,6410.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:48:00-06:00,6510.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:49:00-06:00,6490.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:50:00-06:00,6450.00,nan,nan,nan,nan,nan,nan,9770.00
2020-05-27 11:51:00-06:00,6330.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:52:00-06:00,6490.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:53:00-06:00,6240.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:54:00-06:00,6210.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:55:00-06:00,6390.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:56:00-06:00,6610.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:57:00-06:00,6850.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:58:00-06:00,6700.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 11:59:00-06:00,6490.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:00:00-06:00,6570.00,3570.00,494.00,380.00,24.50,10.40,23.30,10100.00
2020-05-27 12:01:00-06:00,6650.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:02:00-06:00,6620.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:03:00-06:00,6680.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:04:00-06:00,6520.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:05:00-06:00,6450.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:06:00-06:00,6500.00,nan,nan,nan,nan,nan,nan,nan
2020-05-27 12:07:00-06:00,6140.00,nan,nan,nan,nan,nan,nan,nan
