datetimeUTC,"USGS 04092677: Grand Calumet River at Industrial Hwy at Gary, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN","USGS 05536357: Grand Calumet River at Hohman Ave at Hammond, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN (6-hour mean)"
2020-07-21 13:55:00+00:00,nan,1140.00,nan,851.75
2020-07-21 14:00:00+00:00,913.00,986.00,362.00,822.79
2020-07-21 14:05:00+00:00,916.33,1140.00,362.00,814.39
2020-07-21 14:10:00+00:00,919.67,1000.00,362.00,782.63
2020-07-21 14:15:00+00:00,923.00,500.00,362.00,691.83
2020-07-21 14:20:00+00:00,908.00,-51.30,362.00,540.23
2020-07-21 14:25:00+00:00,893.00,-884.00,362.00,443.43
2020-07-21 14:30:00+00:00,878.00,-312.00,362.00,387.27
2020-07-21 14:35:00+00:00,856.67,-890.00,362.00,372.67
2020-07-21 14:40:00+00:00,835.33,-175.00,362.00,374.27
2020-07-21 14:45:00+00:00,814.00,1360.00,362.00,377.87
2020-07-21 14:50:00+00:00,809.00,2270.00,361.67,393.07
2020-07-21 14:55:00+00:00,804.00,1530.00,361.33,402.27
2020-07-21 15:00:00+00:00,799.00,416.00,361.00,380.95
2020-07-21 15:05:00+00:00,803.33,930.00,361.00,351.95
2020-07-21 15:10:00+00:00,807.67,346.00,361.00,353.95
2020-07-21 15:15:00+00:00,812.00,-1130.00,361.00,346.51
2020-07-21 15:20:00+00:00,811.33,-2650.00,361.33,339.71
2020-07-21 15:25:00+00:00,810.67,-1280.00,361.67,307.72
2020-07-21 15:30:00+00:00,810.00,-264.00,362.00,352.80
2020-07-21 15:35:00+00:00,811.33,775.00,361.67,399.36
2020-07-21 15:40:00+00:00,812.67,1180.00,361.33,474.60
2020-07-21 15:45:00+00:00,814.00,1230.00,361.00,522.40
2020-07-21 15:50:00+00:00,815.33,1520.00,361.00,524.80
2020-07-21 15:55:00+00:00,816.67,1370.00,361.00,475.60
2020-07-21 16:00:00+00:00,818.00,607.00,361.00,428.24
2020-07-21 16:05:00+00:00,814.67,261.00,361.33,392.24
2020-07-21 16:10:00+00:00,811.33,1190.00,361.67,307.84
2020-07-21 16:15:00+00:00,808.00,814.00,362.00,231.60
2020-07-21 16:20:00+00:00,805.33,330.00,362.00,237.52
2020-07-21 16:25:00+00:00,802.67,-851.00,362.00,372.96
2020-07-21 16:30:00+00:00,800.00,243.00,362.00,453.72
2020-07-21 16:35:00+00:00,798.33,852.00,362.00,513.48
2020-07-21 16:40:00+00:00,796.67,991.00,362.00,540.88
2020-07-21 16:45:00+00:00,795.00,1020.00,362.00,542.48
2020-07-21 16:50:00+00:00,814.33,1420.00,362.00,526.80
2020-07-21 16:55:00+00:00,833.67,1040.00,362.00,500.00
2020-07-21 17:00:00+00:00,853.00,346.00,362.00,480.00
2020-07-21 17:05:00+00:00,902.00,-484.00,362.00,491.92
2020-07-21 17:10:00+00:00,951.00,-1180.00,362.00,521.04
2020-07-21 17:15:00+00:00,1000.00,-1560.00,362.00,519.84
2020-07-21 17:20:00+00:00,969.33,-982.00,362.00,497.04
2020-07-21 17:25:00+00:00,938.67,736.00,362.00,495.64
2020-07-21 17:30:00+00:00,908.00,739.00,362.00,527.61
2020-07-21 17:35:00+00:00,846.00,1230.00,361.67,469.09
2020-07-21 17:40:00+00:00,784.00,1460.00,361.33,388.61
