datetimeUTC,USGS 04087440: Lake Michigan at Chicago Lock,USGS 05536118: Chicago River at Grand Ave,USGS 05536121: Chicago River at Chicago Lock,USGS 05536123: Chicago River at Columbus Dr,USGS 05536137: Chicago Sanitary and Ship Canal (CSSC) at Western Ave,"USGS 05536140: CSSC at Stickney, IL","USGS 05536290: Little Calumet River at South Holland, IL","USGS 05536890: CSSC near Lemont, IL","USGS 05536995: CSSC at Romeoville, IL"
2020-07-02 13:51:00+00:00,3.70,nan,-2.03,-2.03,nan,nan,nan,-2.30,nan
2020-07-02 13:52:00+00:00,3.70,nan,-1.87,-2.03,nan,nan,nan,-2.31,nan
2020-07-02 13:53:00+00:00,3.73,nan,-2.19,-2.03,nan,nan,nan,-2.30,nan
2020-07-02 13:54:00+00:00,3.75,nan,-1.83,-1.87,nan,nan,nan,-2.29,nan
2020-07-02 13:55:00+00:00,3.78,nan,-2.08,-2.14,nan,-2.14,nan,-2.31,-2.71
2020-07-02 13:56:00+00:00,3.78,nan,-1.97,-2.02,nan,-2.14,nan,-2.32,-2.70
2020-07-02 13:57:00+00:00,3.79,nan,-2.01,-2.03,nan,-2.14,nan,-2.31,-2.68
2020-07-02 13:58:00+00:00,3.79,nan,-2.05,-2.11,nan,-2.15,nan,-2.31,-2.67
2020-07-02 13:59:00+00:00,3.77,nan,-2.05,-2.08,nan,-2.15,nan,-2.30,-2.66
2020-07-02 14:00:00+00:00,3.80,-2.08,-2.06,-2.11,-2.08,-2.15,3.39,-2.31,-2.64
2020-07-02 14:01:00+00:00,3.80,-2.08,-2.03,-2.06,-2.08,-2.15,3.39,-2.30,-2.65
2020-07-02 14:02:00+00:00,3.71,-2.08,-2.07,-2.10,-2.08,-2.15,3.39,-2.29,-2.65
2020-07-02 14:03:00+00:00,3.86,-2.07,-2.10,-2.10,-2.08,-2.15,3.39,-2.29,-2.65
2020-07-02 14:04:00+00:00,3.80,-2.07,-2.04,-2.11,-2.08,-2.15,3.38,-2.29,-2.66
2020-07-02 14:05:00+00:00,3.78,-2.07,-2.07,-2.12,-2.08,-2.15,3.38,-2.29,-2.66
2020-07-02 14:06:00+00:00,3.77,-2.07,-2.07,-2.07,-2.08,-2.15,3.38,-2.31,-2.66
2020-07-02 14:07:00+00:00,3.75,-2.07,-2.05,-2.14,-2.08,-2.15,3.38,-2.32,-2.65
2020-07-02 14:08:00+00:00,3.76,-2.06,-2.10,-2.09,-2.08,-2.15,3.38,-2.32,-2.64
2020-07-02 14:09:00+00:00,3.78,-2.06,-2.06,-2.09,-2.08,-2.15,3.38,-2.31,-2.64
2020-07-02 14:10:00+00:00,3.78,-2.06,-2.10,-2.10,-2.08,-2.15,3.38,-2.30,-2.63
2020-07-02 14:11:00+00:00,3.69,-2.06,-2.02,-2.11,-2.08,-2.15,3.38,-2.30,-2.64
2020-07-02 14:12:00+00:00,3.70,-2.06,-2.10,-2.11,-2.08,-2.15,3.37,-2.30,-2.64
2020-07-02 14:13:00+00:00,3.71,-2.06,-2.06,-2.08,-2.07,-2.14,3.37,-2.30,-2.64
2020-07-02 14:14:00+00:00,3.74,-2.06,-2.04,-2.03,-2.07,-2.14,3.37,-2.30,-2.65
2020-07-02 14:15:00+00:00,3.76,-2.06,-1.95,-2.00,-2.07,-2.14,3.37,-2.30,-2.65
2020-07-02 14:16:00+00:00,3.77,-2.07,-1.82,-2.00,-2.07,-2.14,3.37,-2.30,-2.65
2020-07-02 14:17:00+00:00,3.78,-2.07,-2.09,-2.00,-2.07,-2.14,3.37,-2.30,-2.64
2020-07-02 14:18:00+00:00,3.78,-2.07,-1.89,-1.81,-2.06,-2.13,3.37,-2.30,-2.64
2020-07-02 14:19:00+00:00,3.76,-2.07,-1.97,-2.06,-2.06,-2.13,3.36,-2.30,-2.64
2020-07-02 14:20:00+00:00,3.75,-2.07,-1.98,-2.04,-2.06,-2.13,3.36,-2.31,-2.63
2020-07-02 14:21:00+00:00,3.71,-2.07,-1.95,-1.96,-2.06,-2.13,3.36,-2.30,-2.63
2020-07-02 14:22:00+00:00,3.68,-2.06,-2.04,-2.08,-2.07,-2.14,3.36,-2.29,-2.63
2020-07-02 14:23:00+00:00,3.64,-2.06,-2.01,-2.05,-2.07,-2.14,3.36,-2.29,-2.62
2020-07-02 14:24:00+00:00,3.65,-2.05,-2.01,-2.11,-2.07,-2.15,3.36,-2.29,-2.62
2020-07-02 14:25:00+00:00,3.63,-2.05,-2.04,-2.02,-2.08,-2.15,3.36,-2.29,-2.62
2020-07-02 14:26:00+00:00,3.64,-2.05,-2.04,-2.05,-2.08,-2.15,3.36,-2.28,-2.62
2020-07-02 14:27:00+00:00,3.66,-2.04,-2.14,-2.12,-2.08,-2.15,3.35,-2.27,-2.61
2020-07-02 14:28:00+00:00,3.69,-2.04,-1.94,-2.11,-2.08,-2.14,3.35,-2.28,-2.61
2020-07-02 14:29:00+00:00,3.68,-2.03,-2.18,-2.13,-2.09,-2.14,3.35,-2.29,-2.61
2020-07-02 14:30:00+00:00,3.60,-2.03,-2.02,-2.04,-2.09,-2.14,3.35,-2.29,-2.60
2020-07-02 14:31:00+00:00,3.75,-2.04,-2.11,-2.15,-2.09,-2.13,3.35,-2.29,-2.60
2020-07-02 14:32:00+00:00,3.71,-2.05,-2.07,-2.11,-2.09,-2.13,3.35,-2.29,-2.61
2020-07-02 14:33:00+00:00,3.64,-2.05,-2.11,-2.08,-2.09,-2.12,3.34,-2.29,-2.61
2020-07-02 14:34:00+00:00,3.60,-2.06,-2.04,-2.13,-2.09,-2.12,3.34,-2.29,-2.61
2020-07-02 14:35:00+00:00,3.56,-2.07,-2.10,-2.09,-2.08,-2.11,3.34,-2.28,-2.61
2020-07-02 14:36:00+00:00,3.64,-2.08,-2.02,-2.15,-2.08,-2.12,3.34,-2.28,-2.62
2020-07-02 14:37:00+00:00,3.62,-2.09,-2.11,-2.09,-2.08,-2.12,3.34,-2.28,-2.64
2020-07-02 14:38:00+00:00,3.63,-2.09,-2.04,-2.12,-2.08,-2.13,3.33,-2.27,-2.65
2020-07-02 14:39:00+00:00,3.63,-2.10,-2.12,-2.09,-2.08,-2.13,3.33,-2.27,-2.66
2020-07-02 14:40:00+00:00,3.61,-2.11,-2.00,-2.07,-2.08,-2.14,3.33,-2.27,-2.67
2020-07-02 14:41:00+00:00,3.60,-2.11,-2.15,-2.10,-2.08,-2.15,3.33,-2.27,-2.71
2020-07-02 14:42:00+00:00,3.63,-2.11,-2.01,-2.09,-2.08,-2.15,3.33,-2.27,-2.75
2020-07-02 14:43:00+00:00,3.65,-2.10,-2.08,-2.09,-2.08,-2.16,3.32,-2.26,-2.79
