datetimeUTC,"USGS 04092677: Grand Calumet River at Industrial Hwy at Gary, IN","USGS 04092750: Indiana Harbor Canal at East Chicago, IN","USGS 05536357: Grand Calumet River at Hohman Ave at Hammond, IN"
2020-07-05 13:55:00+00:00,nan,3.99,nan
2020-07-05 14:00:00+00:00,4.90,4.11,1.86
2020-07-05 14:05:00+00:00,4.90,4.04,1.86
2020-07-05 14:10:00+00:00,4.90,3.89,1.85
2020-07-05 14:15:00+00:00,4.90,3.87,1.85
2020-07-05 14:20:00+00:00,4.90,3.87,1.85
2020-07-05 14:25:00+00:00,4.89,3.71,1.85
2020-07-05 14:30:00+00:00,4.89,3.78,1.85
2020-07-05 14:35:00+00:00,4.89,3.87,1.85
2020-07-05 14:40:00+00:00,4.89,3.90,1.84
2020-07-05 14:45:00+00:00,4.89,3.91,1.84
2020-07-05 14:50:00+00:00,4.89,3.86,1.84
2020-07-05 14:55:00+00:00,4.89,3.87,1.84
2020-07-05 15:00:00+00:00,4.89,3.87,1.84
2020-07-05 15:05:00+00:00,4.89,3.76,1.84
2020-07-05 15:10:00+00:00,4.89,3.65,1.83
2020-07-05 15:15:00+00:00,4.89,3.67,1.83
2020-07-05 15:20:00+00:00,4.89,3.68,1.83
2020-07-05 15:25:00+00:00,4.89,3.67,1.84
2020-07-05 15:30:00+00:00,4.89,3.71,1.84
2020-07-05 15:35:00+00:00,4.89,3.77,1.84
2020-07-05 15:40:00+00:00,4.89,3.76,1.83
2020-07-05 15:45:00+00:00,4.89,3.82,1.83
2020-07-05 15:50:00+00:00,4.89,3.93,1.83
2020-07-05 15:55:00+00:00,4.89,3.98,1.83
2020-07-05 16:00:00+00:00,4.89,3.92,1.83
2020-07-05 16:05:00+00:00,4.89,4.02,1.83
2020-07-05 16:10:00+00:00,4.89,3.99,1.83
2020-07-05 16:15:00+00:00,4.89,3.83,1.83
2020-07-05 16:20:00+00:00,4.89,3.83,1.83
2020-07-05 16:25:00+00:00,4.88,3.87,1.82
2020-07-05 16:30:00+00:00,4.88,3.75,1.82
2020-07-05 16:35:00+00:00,4.88,3.83,1.82
2020-07-05 16:40:00+00:00,4.88,3.98,1.82
2020-07-05 16:45:00+00:00,4.88,4.03,1.82
2020-07-05 16:50:00+00:00,4.88,4.03,1.82
2020-07-05 16:55:00+00:00,4.89,4.25,1.82
2020-07-05 17:00:00+00:00,4.89,4.27,1.82
2020-07-05 17:05:00+00:00,4.89,4.11,1.82
2020-07-05 17:10:00+00:00,4.89,4.12,1.81
2020-07-05 17:15:00+00:00,4.89,3.95,1.81
2020-07-05 17:20:00+00:00,4.89,3.77,1.81
2020-07-05 17:25:00+00:00,4.88,3.67,1.81
2020-07-05 17:30:00+00:00,4.88,3.64,1.81
2020-07-05 17:35:00+00:00,4.88,3.63,1.81
2020-07-05 17:40:00+00:00,4.89,3.76,1.82
2020-07-05 17:45:00+00:00,4.89,3.91,1.82
2020-07-05 17:50:00+00:00,4.89,3.95,1.82
2020-07-05 17:55:00+00:00,4.90,3.98,1.82
2020-07-05 18:00:00+00:00,4.90,4.00,1.82
2020-07-05 18:05:00+00:00,4.90,3.98,1.82
2020-07-05 18:10:00+00:00,4.90,3.95,1.83
2020-07-05 18:15:00+00:00,4.90,3.99,1.83
2020-07-05 18:20:00+00:00,4.90,3.95,1.83
2020-07-05 18:25:00+00:00,4.89,4.01,1.83
2020-07-05 18:30:00+00:00,4.89,3.98,1.83
2020-07-05 18:35:00+00:00,4.89,3.88,1.83
2020-07-05 18:40:00+00:00,4.90,3.89,1.83
2020-07-05 18:45:00+00:00,4.90,3.86,1.83
2020-07-05 18:50:00+00:00,4.90,3.74,1.83
2020-07-05 18:55:00+00:00,4.90,3.80,1.83
2020-07-05 19:00:00+00:00,4.90,3.79,1.83
2020-07-05 19:05:00+00:00,4.90,3.76,1.83
2020-07-05 19:10:00+00:00,4.90,3.81,1.83
2020-07-05 19:15:00+00:00,4.90,3.93,1.83
2020-07-05 19:20:00+00:00,4.90,3.87,1.83
2020-07-05 19:25:00+00:00,4.90,3.94,1.83
2020-07-05 19:30:00+00:00,4.90,4.04,1.83
2020-07-05 19:35:00+00:00,4.90,3.99,1.83
2020-07-05 19:40:00+00:00,4.90,3.98,1.83
2020-07-05 19:45:00+00:00,4.90,3.97,1.83
2020-07-05 19:50:00+00:00,4.90,3.89,1.83
2020-07-05 19:55:00+00:00,4.90,3.85,1.83
2020-07-05 20:00:00+00:00,4.90,3.79,1.83
2020-07-05 20:05:00+00:00,4.90,3.74,1.83
2020-07-05 20:10:00+00:00,4.90,3.79,1.83
2020-07-05 20:15:00+00:00,4.90,3.82,1.83
2020-07-05 20:20:00+00:00,4.90,3.83,1.83
2020-07-05 20:25:00+00:00,4.90,3.89,1.83
2020-07-05 20:30:00+00:00,4.90,3.96,1.83
2020-07-05 20:35:00+00:00,4.90,3.92,1.83
2020-07-05 20:40:00+00:00,4.91,3.97,1.83
2020-07-05 20:45:00+00:00,4.91,4.06,1.83
2020-07-05 20:50:00+00:00,4.91,4.02,1.83
2020-07-05 20:55:00+00:00,4.90,4.07,1.83
2020-07-05 21:00:00+00:00,4.90,4.03,1.83
2020-07-05 21:05:00+00:00,4.90,3.91,1.83
2020-07-05 21:10:00+00:00,4.90,3.84,1.83
2020-07-05 21:15:00+00:00,4.90,3.78,1.83
2020-07-05 21:20:00+00:00,4.90,3.75,1.83
2020-07-05 21:25:00+00:00,4.90,3.75,1.83
2020-07-05 21:30:00+00:00,4.90,3.78,1.83
2020-07-05 21:35:00+00:00,4.90,3.86,1.83
2020-07-05 21:40:00+00:00,4.90,3.87,1.83
2020-07-05 21:45:00+00:00,4.90,3.93,1.83
2020-07-05 21:50:00+00:00,4.90,3.98,1.83
2020-07-05 21:55:00+00:00,4.91,3.88,1.84
2020-07-05 22:00:00+00:00,4.91,3.86,1.84
2020-07-05 22:05:00+00:00,4.91,3.84,1.84
2020-07-05 22:10:00+00:00,4.91,3.76,1.84
2020-07-05 22:15:00+00:00,4.91,3.71,1.84
2020-07-05 22:20:00+00:00,4.91,3.76,1.84
2020-07-05 22:25:00+00:00,4.91,3.79,1.84
2020-07-05 22:30:00+00:00,4.91,3.82,1.84
2020-07-05 22:35:00+00:00,4.91,3.87,1.84
2020-07-05 22:40:00+00:00,4.91,3.94,1.84
2020-07-05 22:45:00+00:00,4.91,3.91,1.84
2020-07-05 22:50:00+00:00,4.91,3.89,1.84
2020-07-05 22:55:00+00:00,4.91,3.88,1.83
2020-07-05 23:00:00+00:00,4.91,3.76,1.83
2020-07-05 23:05:00+00:00,4.91,3.75,1.83
2020-07-05 23:10:00+00:00,4.90,3.82,1.83
2020-07-05 23:15:00+00:00,4.90,3.78,1.83
2020-07-05 23:20:00+00:00,4.90,3.88,1.83
2020-07-05 23:25:00+00:00,4.90,4.01,1.83
2020-07-05 23:30:00+00:00,4.90,4.01,1.83
