,USGS 04087440: Lake Michigan at Chicago Lock,USGS 05536118: Chicago River at Grand Ave,USGS 05536121: Chicago River at Chicago Lock,USGS 05536123: Chicago River at Columbus Dr,USGS 05536137: Chicago Sanitary and Ship Canal (CSSC) at Western Ave,"USGS 05536140: CSSC at Stickney, IL","USGS 05536290: Little Calumet River at South Holland, IL","USGS 05536890: CSSC near Lemont, IL","USGS 05536995: CSSC at Romeoville, IL"
2020-05-25 07:51:00-06:00,3.52,nan,-2.24,-2.28,nan,nan,nan,-2.82,nan
2020-05-25 07:52:00-06:00,3.50,nan,-2.24,-2.28,nan,nan,nan,-2.79,nan
2020-05-25 07:53:00-06:00,3.49,nan,-2.24,-2.28,nan,nan,nan,-2.83,nan
2020-05-25 07:54:00-06:00,3.48,nan,-2.24,-2.27,nan,nan,nan,-2.83,nan
2020-05-25 07:55:00-06:00,3.51,nan,-2.24,-2.28,nan,-2.49,nan,-2.83,-4.20
2020-05-25 07:56:00-06:00,3.50,nan,-2.23,-2.27,nan,nan,nan,-2.83,nan
2020-05-25 07:57:00-06:00,3.48,nan,-2.25,-2.27,nan,nan,nan,-2.82,nan
2020-05-25 07:58:00-06:00,3.48,nan,-2.24,-2.27,nan,nan,nan,-2.81,nan
2020-05-25 07:59:00-06:00,3.49,nan,-2.24,-2.28,nan,nan,nan,-2.83,nan
2020-05-25 08:00:00-06:00,3.51,-2.29,-2.23,-2.27,-2.36,-2.50,6.51,-2.82,-3.89
2020-05-25 08:01:00-06:00,3.54,nan,-2.24,-2.27,nan,nan,nan,-2.94,nan
2020-05-25 08:02:00-06:00,3.56,nan,-2.24,-2.27,nan,nan,nan,-2.97,nan
2020-05-25 08:03:00-06:00,3.55,nan,-2.23,-2.27,nan,nan,nan,-2.92,nan
2020-05-25 08:04:00-06:00,3.56,nan,-2.24,-2.27,nan,nan,nan,-2.93,nan
2020-05-25 08:05:00-06:00,3.56,nan,-2.23,-2.26,nan,-2.49,nan,-2.93,-3.91
2020-05-25 08:06:00-06:00,3.55,nan,-2.24,-2.27,nan,nan,nan,-2.92,nan
2020-05-25 08:07:00-06:00,3.56,nan,-2.24,-2.27,nan,nan,nan,-2.92,nan
2020-05-25 08:08:00-06:00,3.59,nan,-2.23,-2.27,nan,nan,nan,-2.95,nan
2020-05-25 08:09:00-06:00,3.60,nan,-2.23,-2.27,nan,nan,nan,-2.93,nan
2020-05-25 08:10:00-06:00,3.61,-2.29,-2.24,-2.27,-2.38,-2.49,nan,-2.92,-3.88
2020-05-25 08:11:00-06:00,3.65,nan,-2.23,-2.27,nan,nan,nan,-2.93,nan
