,"USGS 04092750: Indiana Harbor Canal at East Chicago, IN","USGS 04092677: Grand Calumet River at Industrial Hwy at Gary, IN","USGS 05536357: Grand Calumet River at Hohman Ave at Hammond, IN"
2020-05-26 08:55:00-05:00,3.79,nan,nan
2020-05-26 09:00:00-05:00,3.82,4.31,2.25
2020-05-26 09:05:00-05:00,3.80,nan,nan
2020-05-26 09:10:00-05:00,3.83,nan,nan
2020-05-26 09:15:00-05:00,3.83,4.31,2.24
2020-05-26 09:20:00-05:00,3.79,nan,nan
2020-05-26 09:25:00-05:00,3.85,nan,nan
2020-05-26 09:30:00-05:00,3.86,4.31,2.23
2020-05-26 09:35:00-05:00,3.76,nan,nan
2020-05-26 09:40:00-05:00,3.72,nan,nan
2020-05-26 09:45:00-05:00,3.72,4.30,2.23
2020-05-26 09:50:00-05:00,3.65,nan,nan
2020-05-26 09:55:00-05:00,3.65,nan,nan
2020-05-26 10:00:00-05:00,3.74,4.30,2.23
2020-05-26 10:05:00-05:00,3.80,nan,nan
2020-05-26 10:10:00-05:00,3.78,nan,nan
2020-05-26 10:15:00-05:00,3.86,4.31,2.24
2020-05-26 10:20:00-05:00,3.84,nan,nan
2020-05-26 10:25:00-05:00,3.75,nan,nan
2020-05-26 10:30:00-05:00,3.63,4.30,2.23
2020-05-26 10:35:00-05:00,3.63,nan,nan
2020-05-26 10:40:00-05:00,3.62,nan,nan
2020-05-26 10:45:00-05:00,3.67,4.29,2.22
2020-05-26 10:50:00-05:00,3.75,nan,nan
2020-05-26 10:55:00-05:00,3.80,nan,nan
2020-05-26 11:00:00-05:00,3.83,4.30,2.21
2020-05-26 11:05:00-05:00,3.90,nan,nan
2020-05-26 11:10:00-05:00,3.87,nan,nan
2020-05-26 11:15:00-05:00,3.76,4.30,2.21
2020-05-26 11:20:00-05:00,3.67,nan,nan
2020-05-26 11:25:00-05:00,3.64,nan,nan
2020-05-26 11:30:00-05:00,3.61,4.29,2.19
2020-05-26 11:35:00-05:00,3.55,nan,nan
2020-05-26 11:40:00-05:00,3.56,nan,nan
2020-05-26 11:45:00-05:00,3.62,4.29,2.19
2020-05-26 11:50:00-05:00,3.59,nan,nan
2020-05-26 11:55:00-05:00,3.63,nan,nan
2020-05-26 12:00:00-05:00,3.66,4.30,2.19
2020-05-26 12:05:00-05:00,3.63,nan,nan
2020-05-26 12:10:00-05:00,3.65,nan,nan
2020-05-26 12:15:00-05:00,3.67,4.28,2.18
2020-05-26 12:20:00-05:00,3.71,nan,nan
2020-05-26 12:25:00-05:00,3.79,nan,nan
2020-05-26 12:30:00-05:00,3.85,4.28,2.16
2020-05-26 12:35:00-05:00,3.91,nan,nan
2020-05-26 12:40:00-05:00,3.94,nan,nan
2020-05-26 12:45:00-05:00,3.92,4.27,2.14
2020-05-26 12:50:00-05:00,3.84,nan,nan
2020-05-26 12:55:00-05:00,3.82,nan,nan
2020-05-26 13:00:00-05:00,3.79,4.26,2.14
